Provinsi,b2018,b2019,b2020,b2021,b2022
Aceh,59.3,79.3,81.7,81.0,89.1
Sumatera Utara,52.2,68.0,68.1,70.6,74.9
Sumatera Barat,76.0,84.0,90.8,92.8,92.8
Riau,65.6,80.0,84.2,86.9,88.4
Jambi,81.0,80.8,82.9,84.3,90.3
Sumatera Selatan,65.6,81.0,84.3,85.0,88.9
Bengkulu,69.8,79.3,84.7,86.7,90.0
Lampung,68.7,82.4,88.3,92.6,91.4
Kepulauan Bangka Belitung,61.5,57.2,66.7,77.0,73.4
Kepulauan Riau,64.3,63.7,67.1,69.9,82.3
DKI Jakarta,65.2,78.3,81.6,84.2,82.9
Jawa Barat,69.4,81.6,92.3,90.1,95.6
Jawa Tengah,77.4,88.9,96.2,97.4,98.5
DI Yogyakarta,82.4,92.9,97.8,98.1,94.3
Jawa Timur,64.4,78.9,82.2,84.5,86.1
Banten,61.5,76.6,79.1,81.4,84.6
Bali,56.2,78.1,80.8,80.0,81.7
Nusa Tenggara Barat,87.9,89.6,94.9,100.0,98.0
Nusa Tenggara Timur,77.4,88.3,90.0,91.4,92.5
Kalimantan Barat,72.5,81.2,84.3,85.5,90.6
Kalimantan Tengah,69.5,71.5,71.6,72.5,74.1
Kalimantan Selatan,62.5,81.1,84.3,82.1,85.7
Kalimantan Timur,67.7,83.5,84.1,90.4,87.6
Kalimantan Utara,66.7,83.4,84.6,86.2,90.3
Sulawesi Utara,55.0,62.4,66.6,68.1,72.9
Sulawesi Tengah,64.5,74.3,78.5,80.8,79.6
Sulawesi Selatan,71.7,82.6,84.4,84.4,89.2
Sulawesi Tenggara,59.8,72.2,74.1,76.7,75.1
Gorontalo,56.2,67.9,64.7,67.0,67.6
Sulawesi Barat,85.1,88.7,83.0,94.2,88.5
Maluku,54.9,71.7,69.4,72.5,78.3
Maluku Utara,73.3,77.5,76.1,76.1,81.6
Papua Barat,58.7,75.5,72.4,70.4,75.4
Papua,65.9,83.8,81.0,81.0,84.8
