Provinsi,a2018,a2019,a2020,a2021,a2022
Aceh,54.8,56.0,56.4,56.5,56.9
Sumatera Utara,55.7,57.5,59.8,60.9,62.3
Sumatera Barat,63.7,67.8,67.7,63.6,64.9
Riau,58.5,58,60.8,63.9,64.8
Jambi,69.6,67.0,67.8,69.9,73.3
Sumatera Selatan,68.9,68.1,70.2,73.0,73.5
Bengkulu,72.2,71.7,74.8,79.0,82.6
Lampung,80.2,78.7,79.1,83.3,85.8
Kepulauan Bangka Belitung,83.6,78.0,80.1,83.8,84.5
Kepulauan Riau,78.7,69.3,71.0,72.8,73.6
DKI Jakarta,79.0,74.6,75.0,75.2,75.1
Jawa Barat,75.1,71.5,73.2,72.7,75.1
Jawa Tengah,84.2,83.7,83.6,84.3,83.2
DI Yogyakarta,87.1,83.9,82.2,79.4,84.0
Jawa Timur,82.3,80.9,81.2,83.1,85.3
Banten,69.7,66.1,68.9,72.5,72.3
Bali,90.8,84.6,83.6,85.4,83.4
Nusa Tenggara Barat,78.9,80.7,81.7,79.8,80.7
Nusa Tenggara Timur,60.9,64.4,66.2,71.6,71.8
Kalimantan Barat,66.5,67.9,68.8,72.1,71.1
Kalimantan Tengah,59.6,64.1,65.2,66.7,70.0
Kalimantan Selatan,78.3,76.2,79.0,81.7,83.4
Kalimantan Timur,80,73.5,74.7,77.4,79.6
Kalimantan Utara,75.2,70.9,71.7,74.7,75.1
Sulawesi Utara,75.6,78.6,80.5,80.0,80.5
Sulawesi Tengah,64.5,68.6,69.4,75.0,76.3
Sulawesi Selatan,69.9,70.1,73.1,76.0,76.9
Sulawesi Tenggara,51.4,59.3,60.3,63.5,72.4
Gorontalo,76.5,79.1,79.6,80.0,80.1
Sulawesi Barat,62.4,65.8,64.6,68.6,69.1
Maluku,39.6,47.5,51.0,52.1,52.7
Maluku Utara,50.4,56.0,58.8,61.1,60.5
Papua Barat,49.8,55.9,58.0,59.2,55.6
Papua,36.1,39.9,40.0,46.2,47.8
