Provinsi,d2018,d2019,d2020,d2021,d2022
Aceh,85.6,84.4,85.7,88.5,81.7
Sumatera Utara,90.5,92.0,88.8,89.5,85.5
Sumatera Barat,90.9,91.9,90.2,90.0,87.8
Riau,84.0,86.2,84.7,82.3,74.8
Jambi,83.3,85.1,84.8,84.6,79.8
Sumatera Selatan,81.9,84.9,83.7,88.6,87.7
Bengkulu,85.5,87.2,87.1,85.6,80.6
Lampung,79.8,82.5,79.7,82.9,75.6
Kepulauan Bangka Belitung,83.2,86.9,84.4,81.6,74.7
Kepulauan Riau,92.7,93.2,89.9,87.1,81.2
DKI Jakarta,97.6,97.6,96.8,96.3,94.3
Jawa Barat,93.7,93.9,93.5,92.6,88.7
Jawa Tengah,81.3,80.7,80.3,79.4,79.4
DI Yogyakarta,85.5,87.8,83.5,83.0,77.5
Jawa Timur,87.7,87.6,85.7,84.8,82.9
Banten,95.1,96.5,96.5,95.3,95.9
Bali,95.5,95.2,93.3,87.6,87.1
Nusa Tenggara Barat,90.1,95.4,95.0,97.0,96.3
Nusa Tenggara Timur,77.7,76.6,78.1,80.3,77.1
Kalimantan Barat,68.9,68.2,66.8,67.3,68.0
Kalimantan Tengah,85.5,84.4,83.2,85.2,78.6
Kalimantan Selatan,95.6,95.8,95.5,95.4,92.6
Kalimantan Timur,83.1,88.4,86.3,79.1,73.0
Kalimantan Utara,81.6,83.2,79.8,78.8,61.6
Sulawesi Utara,94.8,93.4,92.5,88.5,89.6
Sulawesi Tengah,88.4,86.0,85.2,82.3,80.1
Sulawesi Selatan,89.7,87.3,83.1,86.8,82.0
Sulawesi Tenggara,88.2,85.4,83.2,81.4,71.4
Gorontalo,80.8,87.1,82.8,75.3,69.0
Sulawesi Barat,83.0,88.7,84.7,82.0,83.6
Maluku,43.2,43.3,40.8,50.6,47.2
Maluku Utara,48.9,40.5,40.9,51.9,48.8
Papua Barat,64.8,68.0,61.5,59.0,51.0
Papua,36.1,36.4,47.5,37.7,39.7
