Provinsi,f2018,f2019,f2020,f2021,f2022
Aceh,95.7,88.9,72.8,72.6,72.7
Sumatera Utara,57.8,51.2,47.0,45.2,45.0
Sumatera Barat,60.8,56.9,52.3,51.5,54.6
Riau,52.4,48.5,44.7,43.8,45.0
Jambi,53.6,46.6,36.9,35.0,38.6
Sumatera Selatan,72.3,51.9,44.7,45.3,38.6
Bengkulu,63.0,55.2,52.2,53.3,47.0
Lampung,68.4,60.5,56.4,58.4,54.0
Kepulauan Bangka Belitung,47.6,43.3,42.6,44.9,55.5
Kepulauan Riau,44.7,44.0,47.9,44.3,44.3
DKI Jakarta,46.9,47.4,48.6,51.6,45.6
Jawa Barat,68.3,49.7,47.7,48.8,48.5
Jawa Tengah,73.9,58.8,58.3,60.8,54.7
DI Yogyakarta,80.5,69.3,68.3,72.3,61.5
Jawa Timur,66.6,51.3,52.9,54.9,77.9
Banten,62.8,56.9,46.0,45.8,58.1
Bali,49.0,49.6,51.2,54.1,48.3
Nusa Tenggara Barat,75.4,68.6,55.6,56.5,57.0
Nusa Tenggara Timur,72.9,71.7,61.2,61.6,58.4
Kalimantan Barat,48.5,48.1,42.3,46.8,64.4
Kalimantan Tengah,44.6,37.2,40.3,40.0,44.1
Kalimantan Selatan,56.7,57.4,50.7,49.1,35.1
Kalimantan Timur,51.7,48.6,49.0,47.6,46.2
Kalimantan Utara,58.5,57.7,54.5,55.8,48.6
Sulawesi Utara,69.2,64.1,57.9,57.4,53.6
Sulawesi Tengah,68.2,65.2,54.3,53.4,56.3
Sulawesi Selatan,66.9,62.0,57.2,61.0,58.0
Sulawesi Tenggara,70.5,63.5,57.4,62.7,65.2
Gorontalo,77.9,69.2,69.1,68.0,62.0
Sulawesi Barat,83.9,78.2,63.3,68.2,75.0
Maluku,75.1,63.9,50.2,48.9,72.0
Maluku Utara,63.0,54.3,44.1,45.3,48.3
Papua Barat,71.9,73.7,49.5,51.1,44.6
Papua,76.7,67.4,47.1,49.2,49.5
