Provinsi,x2018,x2019,x2020,x2021,x2022,a2018,a2019,a2020,a2021,a2022,b2018,b2019,b2020,b2021,b2022,c2018,c2019,c2020,c2021,c2022,d2018,d2019,d2020,d2021,d2022,e2018,e2019,e2020,e2021,e2022,f2018,f2019,f2020,f2021,f2022
Aceh,67.8,70.6,68.6,69.7,69.7,54.8,56.0,56.4,56.5,56.9,59.3,79.3,81.7,81.0,89.1,76.2,79.5,82.4,83.2,83.6,85.6,84.4,85.7,88.5,81.7,35.3,35.3,32.5,36.3,34.2,95.7,88.9,72.8,72.6,72.7
Sumatera Utara,60.9,63.2,62.7,62.9,63.4,55.7,57.5,59.8,60.9,62.3,52.2,68.0,68.1,70.6,74.9,82.4,84.9,85.4,86.5,87.2,90.5,92.0,88.8,89.5,85.5,27.0,25.9,27.2,25.0,25.6,57.8,51.2,47.0,45.2,45.0
Sumatera Barat,66.1,67.9,68.3,67.4,68.1,63.7,67.8,67.7,63.6,64.9,76.0,84.0,90.8,92.8,92.8,71.5,72.7,75.7,76.0,77.2,90.9,91.9,90.2,90.0,87.8,33.6,33.8,33.2,30.6,31.2,60.8,56.9,52.3,51.5,54.6
Riau,62.8,64.2,64.8,65.0,64.2,58.5,58.0,60.8,63.9,64.8,65.6,80.0,84.2,86.9,88.4,83.9,83.7,86.1,86.7,87.1,84.0,86.2,84.7,82.3,74.8,32.6,28.6,28.5,26.3,25.1,52.4,48.5,44.7,43.8,45.0
Jambi,66.2,64.9,64.6,64.6,66.0,69.6,67.0,67.8,69.9,73.3,81.0,80.8,82.9,84.3,90.3,74.5,76.3,78.3,80.0,79.4,83.3,85.1,84.8,84.6,79.8,35.2,33.5,36.6,34.0,34.7,53.6,46.6,36.9,35.0,38.6
Sumatera Selatan,65.6,65.1,65.1,66.7,67.9,68.9,68.1,70.2,73.0,73.5,65.6,81.0,84.3,85.0,88.9,76.3,77.5,78.9,81.0,82.5,81.9,84.9,83.7,88.6,87.7,28.3,27.2,29.2,26.9,34.7,72.3,51.9,44.7,45.3,38.6
Bengkulu,64.8,65.2,66.8,67.9,68.8,72.2,71.7,74.8,79.0,82.6,69.8,79.3,84.7,86.7,90.0,66.5,66.8,70.3,73.6,76.3,85.5,87.2,87.1,85.6,80.6,32.0,31.0,31.6,29.5,27.9,63.0,55.2,52.2,53.3,47.0
Lampung,67.5,69.6,69.9,72.6,70.8,80.2,78.7,79.1,83.3,85.8,68.7,82.4,88.3,92.6,91.4,70.7,76.3,76.9,82.0,82.6,79.8,82.5,79.7,82.9,75.6,36.9,37.1,39.0,36.1,29.7,68.4,60.5,56.4,58.4,54.0
Kepulauan Bangka Belitung,66.1,64.0,65.9,67.6,66.5,83.6,78.0,80.1,83.8,84.5,61.5,57.2,66.7,77.0,73.4,80.6,81.9,83.8,82.8,86.3,83.2,86.9,84.4,81.6,74.7,40.1,36.6,37.6,35.3,34.1,47.6,43.3,42.6,44.9,55.5
Kepulauan Riau,66.4,65.2,66.5,66.1,67.4,78.7,69.3,71.0,72.8,73.6,64.3,63.7,67.1,69.9,82.3,86.4,88.8,89.8,91.2,89.8,92.7,93.2,89.9,87.1,81.2,31.5,32.1,33.6,31.0,35.7,44.7,44.0,47.9,44.3,44.3
